station,lat,lon,RUBISCO,PEPC,GOT,PEPCK,MDH_NAD,MDH_NADP,MDC_NADP,MDC_NAD,GPT_GGAT,PEPDK
004,36.5533,-6.5669,8.605742501936254e-5,5.383055771245591e-5,1.1025734176056989e-4,2.7694155763282765e-5,8.540261428125408e-5,1.1929496442551348e-5,8.946765093440328e-5,4.437739206712232e-5,1.0730575554512599e-4,3.5820787749117184e-5
005,36.0244,-4.4685,2.811937522991146e-5,4.7344262448640734e-5,9.474373843231686e-5,1.4149698973812008e-5,8.119135501990776e-5,6.073748342533531e-6,5.84863154536015e-5,2.358274411583364e-5,8.56758109798142e-5,3.9277749433093935e-5
006,36.5207,-4.0074,2.0866316384950665e-4,1.1278540983579061e-4,9.324195846411072e-5,1.9706798815110105e-5,2.8249239454183753e-4,1.1362148984588979e-4,5.392228971879646e-4,1.763245084667738e-4,2.5727163605257687e-4,1.9394359436650856e-4
007,37.0434,1.9493,9.157665915048402e-6,7.672509394233268e-5,6.0934245123010976e-5,1.1096260255481716e-5,9.837634036179813e-5,5.160786728902011e-6,5.907742763588508e-5,6.958343569931438e-6,1.1503973584127224e-4,2.3837550959130277e-5
008,38.005,3.9899,8.9905467019099e-6,3.948538894754163e-5,5.668022588915776e-5,2.046253580337684e-5,1.2341613737108656e-4,6.806636123744815e-6,6.506004269715612e-5,1.9848563040439884e-5,1.5231358245744995e-4,3.5601472053455495e-5
009,39.0864,5.791,4.149251702611133e-6,3.2690611040915905e-5,7.323423289438449e-5,2.3967411359478178e-5,9.856852066599588e-5,1.2686217849362777e-6,1.7961143941554124e-5,3.3044938709418006e-6,1.1714126307765075e-4,6.8486049752229364e-6
010,40.6541,2.8407,1.4580590659028483e-6,3.117052502361097e-5,5.16737012771369e-5,2.874424839708614e-5,9.923078185944552e-5,4.220565936995128e-7,3.128421076261816e-5,1.2459937567220126e-5,1.0358072099494342e-4,9.304716594584133e-6
016,37.4956,15.4945,1.685922104509373e-6,3.2583513729386264e-5,5.867629601577068e-5,4.109856182178983e-5,8.604624451966443e-5,5.8859808629682e-7,3.711098973034103e-5,1.1844281860443995e-5,1.0148673778326768e-4,1.0890734136742809e-5
018,35.7606,14.2522,7.26004752782312e-6,2.530295579448904e-5,7.128210012063307e-5,1.9527758957445628e-5,8.315480855116515e-5,7.763102499606627e-7,3.471527339813126e-5,3.4935988238507882e-6,1.0927013257502735e-4,1.4822552849860058e-5
019,34.2116,13.7684,1.2593040269174772e-6,5.210946046151244e-5,9.530713545204157e-5,1.9025707957073175e-5,8.347043203089787e-5,1.4035663288084877e-6,4.327803815889958e-5,1.2274984880727997e-5,1.2252728075654623e-4,1.010249958717722e-5
020,34.453,14.9538,8.182649351267822e-7,5.1645758495307664e-5,6.653166346195735e-5,2.877121754843812e-5,1.1818271130791821e-4,4.456454337761423e-7,4.1097694868801296e-5,2.069916298468917e-5,1.283604687855498e-4,1.009134765621134e-5
021,37.5057,17.2174,1.8695591809916634e-6,5.0501471388743594e-5,9.093193916449769e-5,4.8816905683873053e-5,1.103633063836595e-4,2.8204695359408745e-6,4.213397202834836e-5,4.7959230726756205e-6,1.0168875056421774e-4,2.1511422730412284e-5
022,39.5705,17.4101,1.3021577846196894e-4,5.75633247928465e-5,8.876150974163535e-5,1.1874180243109246e-5,1.2464155961715154e-4,1.4461368088068383e-5,1.5726443110610736e-4,6.35171584806566e-5,1.049849468893508e-4,1.3448134250451202e-4
023,42.1735,17.7252,6.6460531998301735e-6,6.856639980757379e-5,7.963099697599056e-5,4.4390124279321216e-5,1.0759015768859747e-4,6.003256481317045e-7,3.731928481966894e-5,4.2479757869198344e-6,1.052117056271269e-4,3.254007845938842e-5
025,39.3888,19.3905,1.9085516514300038e-6,4.687655498489151e-5,6.621556063858234e-5,3.697082424439652e-5,1.2099445341373725e-4,1.1849804134226138e-6,2.540294125925112e-5,1.5504085049870722e-6,1.14156187997127e-4,2.1079812062148746e-5
030,33.9178,32.8872,3.0934790705969484e-7,3.6520117795638975e-5,5.02941934992643e-5,1.9116437981810614e-5,6.745220037333273e-5,0,3.051855461515018e-5,5.951705541214369e-6,9.338388534585709e-5,1.6490476864327847e-5
032,23.36,37.2183,3.7073975353979015e-5,6.485054504937395e-5,1.0287604212545225e-4,2.1016460517277568e-5,4.865714792868517e-5,3.0843274165548555e-6,6.460141117105953e-5,2.914841578349265e-5,7.551661306381288e-5,1.7525585493108046e-5
036,20.8222,63.5133,5.425580503418215e-5,6.784466432116836e-5,1.3757273154212929e-4,1.7073195981098856e-5,1.0253364141216581e-4,1.4468819057486362e-5,1.9396685085106786e-4,8.14133716020395e-5,7.891331132333164e-5,2.8322195310853683e-5
038,19.0351,64.5638,8.821220040197125e-6,1.0067450742634747e-4,1.0124021696187886e-4,6.254830110748973e-6,1.9680167224970707e-4,2.478133418413112e-6,3.8834172016017287e-4,1.9313690204399858e-4,5.3141508375741763e-5,2.3549340087822867e-5
039,18.5839,66.4727,3.5739538210354096e-5,9.316348066121277e-5,1.0069705541927216e-4,2.8012790385569933e-5,8.1179507165177e-5,3.1819345376444744e-5,1.0820919200208138e-4,2.4890873367204055e-5,1.2315903040115652e-4,4.8628224000400594e-5
041,14.6059,69.9776,3.7292228443374885e-6,1.6208004969888367e-4,9.671203608468551e-5,4.380302359870054e-5,7.253313138910883e-5,6.174603307758602e-6,7.643489528589839e-5,1.5023469602351436e-5,9.788980005474715e-5,1.5053524263152301e-5
042,6.0001,73.8955,2.089699418029767e-6,1.9182069293282187e-4,1.2965112718795228e-4,2.9725271818265224e-5,3.642799414369548e-5,6.828377519240753e-7,5.5544103389853816e-5,3.9746931033204405e-6,5.5652622917776715e-5,1.840822046842142e-5
043,4.6599,73.4856,7.470800991332545e-5,1.3434861531617083e-4,1.0923412464816045e-4,1.234374526494268e-5,1.6030563087663985e-4,4.7855686144810655e-5,2.1899121105620434e-4,5.739393512197793e-5,1.0027935822137852e-4,5.301256789796176e-5
045,0.0033,71.6428,1.312343917730456e-5,0.00016646617528040671,9.282453426277468e-5,2.6498018460729628e-5,3.630700660210677e-5,1.1336143067930493e-6,8.550375959204512e-5,1.8643624311987485e-6,5.60273818076305e-5,1.131712104881971e-5
046,-0.6625,73.161,1.572333127816559e-4,6.798411312993496e-5,1.185880196150346e-4,4.5837026518744694e-6,4.2146990440280286e-4,1.8921506289772008e-4,2.947925280913375e-4,6.081848704138074e-5,1.9562833367723533e-4,1.4775064585903556e-4
050,-21.4966,56.9011,2.0624376470498528e-6,9.695812213374519e-5,1.342668770558528e-4,8.51626804529235e-6,5.781868704814367e-5,3.13862519006598e-6,3.543510037379967e-5,2.9996588494082288e-6,9.172036944081717e-5,1.0773180044682815e-5
051,-21.5043,54.3563,5.415217716752821e-7,1.1260483022688599e-4,1.3622590462088747e-4,2.8769272781788553e-5,5.09543541321788e-5,3.244965077961883e-6,3.9450916520548606e-5,2.649479975804298e-6,6.546743967924261e-5,9.742522094395241e-6
052,-16.957,53.9801,7.676484103304819e-6,1.8900132323281354e-4,1.0374004711153236e-4,1.983447967287415e-5,1.2024702213537038e-4,9.715077091214993e-6,1.54154497171534e-4,3.468418930606232e-5,9.691534567174496e-5,4.393168764625053e-5
053,-13.0833,46.971,5.49625721391373e-6,1.264046828272135e-4,1.332727252763667e-4,3.3399172393997816e-5,2.7450543613057773e-5,1.345690409446716e-6,8.210220854362599e-5,2.457403536115707e-6,5.235900549716057e-5,1.1946952128914343e-5
054,-12.807,45.2247,6.230035107923999e-5,7.468203773923307e-5,1.3554885487805808e-4,1.4606576889217127e-5,1.9113648792803444e-4,8.893353407428546e-5,1.5429005081957033e-4,2.5574953166914293e-5,1.4116290257650246e-4,7.609163574744163e-5
057,-17.0248,42.7401,1.3433449561994006e-4,5.14213915842697e-5,1.2196727890510548e-4,1.0313788655273683e-5,2.0249280951070527e-4,8.161690237644753e-5,2.0811265106683918e-4,4.94611164484815e-5,8.048219519904162e-5,5.454924474765927e-5
058,-17.4174,42.2547,2.3866063721696964e-5,8.114323059707799e-5,9.172752951443459e-5,2.0553729198929417e-5,5.4006014165242104e-5,1.1813477674504078e-5,6.758997273091659e-5,1.4579112565199226e-5,6.17982975742149e-5,3.0471241696446315e-5
062,-22.3368,40.3412,1.0797704716149541e-4,7.210119870653597e-5,1.1765682174976784e-4,8.656262908804693e-6,1.0779300755515456e-4,3.869227372211933e-5,1.350353622098432e-4,5.17061018032464e-5,6.256538709896384e-5,3.446209692245575e-5
064,-29.5019,37.9889,1.5179219904193095e-4,5.544585433906576e-5,1.041248171613972e-4,2.053853441425313e-5,1.5029497045974624e-4,4.1783598443923644e-5,1.864994204120967e-4,8.809387930075413e-5,8.107657563733682e-5,2.9804657386015173e-5
065,-35.1728,26.2868,3.284925558614198e-4,6.346788979390688e-6,2.478751479516723e-4,0,3.680572543882449e-4,0,3.8703587245378726e-4,3.276667972292661e-4,1.8099848018664703e-5,3.391526870600577e-5
066,-34.9449,17.9189,1.156724426339836e-4,1.400222335577268e-4,8.378279564939551e-5,3.242743431968218e-5,1.7027799793882832e-4,9.097180512222087e-5,3.3603894821237525e-4,9.748777658819209e-5,2.2056305408982657e-4,1.5328154383416467e-4
067,-32.2401,17.7103,2.500940290723833e-4,6.974658713760484e-5,9.785964972804937e-5,2.568716107956135e-5,1.7309723993913558e-4,6.862438864121189e-5,3.848877452012188e-4,1.7367186885735805e-4,1.9746288327647881e-4,1.6050781159300238e-4
068,-31.0266,4.665,5.7087988925035574e-05,1.2093721350988523e-4,1.3038485500735551e-4,6.332496216137574e-5,5.625253260580747e-5,6.098811843402513e-6,5.1895837073728885e-5,3.972698934555295e-5,1.155814387789462e-4,2.2247277441586963e-5
070,-20.4091,-3.1759,4.949803227460206e-6,2.0928517500689577e-4,1.3363124444502436e-4,3.4746351250573944e-5,1.8648689265677194e-4,5.095362298646788e-6,1.970687931734594e-4,1.8890514536567635e-4,6.102439330666534e-5,1.283798874457049e-5
071,-9.3,-9.5587,9.840797997198229e-6,8.734303305385022e-5,1.481619218575513e-4,1.904358050096874e-5,8.540140209653096e-5,1.4264278792828671e-5,7.126563372104804e-5,2.5038399733879464e-5,7.30009194963997e-5,1.3521673100209575e-5
072,-8.7789,-17.9099,1.3634337188224811e-5,7.205925897776002e-5,4.6307000966996566e-5,1.209367742353112e-5,8.639593693354385e-5,1.7697273820348e-5,1.0974788665482322e-4,3.2842857857528654e-5,6.498169377358336e-5,1.0724399847511301e-5
076,-20.9354,-35.1803,1.4594407552819905e-6,2.615257468723856e-5,1.3837215775289828e-4,1.671770735743358e-5,4.944808018637643e-5,2.3230221146983533e-6,2.7908428854768925e-5,4.5362662767687825e-6,1.1046856181933316e-4,6.5384955694294725e-6
078,-30.1367,-43.2899,1.4543755074699409e-5,4.0626633102208855e-5,1.2646621442164208e-4,5.252171901158565e-6,4.596830329588676e-5,4.816316234632661e-6,3.673436926790931e-5,1.2083869276531505e-5,1.363415875437937e-4,1.917013225022915e-5
080,-40.6511,-52.182,1.2561356549645926e-4,3.6439641271504805e-5,1.1741728850854217e-4,8.09340683207461e-6,7.983730394620753e-5,1.263343374502181e-5,1.175390413465872e-4,7.476002193499991e-5,1.1342561804968872e-4,7.849354722187946e-5
081,-44.5342,-52.455,1.7976302494744214e-4,1.26970483998033e-4,7.162417763345526e-5,4.470204460971983e-5,1.2924489620606163e-4,6.727721952711272e-5,3.236883693365309e-4,1.2057821410647858e-4,1.7777162862621273e-4,1.589501885557081e-4
082,-47.1863,-58.2902,7.827724684628106e-5,2.0202827973347335e-5,1.619062422384036e-4,8.348439453702407e-5,1.0167652908294021e-4,2.2370335717172917e-5,9.219192937044545e-5,5.3800664070486615e-5,1.995125211942875e-4,5.461435739665888e-5
083,-54.3739,-65.1342,7.201652863651497e-5,2.0739949726558362e-5,1.1324890547916055e-4,7.860348613028034e-5,8.251705098928777e-5,1.4782786791079396e-5,7.71176578299148e-5,4.506133356542565e-5,1.941620762749007e-4,5.822324852486941e-5
084,-60.2287,-60.6476,1.7283224886430498e-7,2.752050922478982e-5,1.7400628563153585e-4,1.0600977216192104e-4,7.687708212246759e-5,0,7.660208046911783e-6,5.660405659171788e-7,2.6694300052500285e-4,5.38262867245564e-6
085,-62.0385,-49.529,2.946996450082655e-6,3.780620932437361e-5,1.5608051063651643e-4,1.3172424976842052e-4,4.899441728492071e-5,0,6.517990052069605e-7,0,2.0528323304587305e-4,2.180252262428246e-6
086,-64.3595,-53.0063,0,1.8163488465401122e-4,1.9860408578848403e-5,1.2695642387212407e-5,6.379934748175129e-5,0,9.168269414617479e-7,0,4.867409600349419e-5,1.4465416451370479e-5
087,-63.8768,-56.0916,1.6671840236997326e-5,2.711470386199959e-6,1.7363974529264154e-5,1.9349324702364372e-5,1.0897808945586281e-4,0,0,0,7.267478910235363e-5,1.0212880883983142e-4
088,-63.4015,-56.7938,7.230108852849298e-6,1.5667886838674712e-5,5.8931815988399756e-5,6.417883165539347e-5,1.4689056636606624e-4,0,4.573688204809397e-6,4.573688204809397e-6,1.455073931473104e-4,3.770568499530351e-5
089,-57.7338,-67.1084,3.449577326616077e-5,1.0445373162285672e-4,1.859051721786443e-4,6.90133531799176e-5,6.723978609892658e-5,1.2123953971698e-5,4.1101547926650454e-5,2.178914470637546e-5,2.0151420173141523e-4,2.9895784648041586e-5
090,-39.6466,-76.9634,1.294740229733782e-4,5.3899527599944765e-5,8.647105612900463e-5,2.4776502761071485e-5,1.4065729904714477e-4,2.4651537213829833e-5,1.6985294508966187e-4,9.613597316488154e-5,1.0687901512749354e-4,1.0982024076116775e-4
091,-34.161,-73.0995,2.0942274352762645e-4,1.850771672045038e-4,2.5362070520294132e-5,1.703692853065651e-5,1.6723121384913024e-4,1.315103678095384e-5,2.844116867069845e-4,2.4544429734835714e-4,8.07831335077983e-5,1.3788798152450214e-4
092,-33.6895,-71.998,3.380025370696482e-5,2.558514528874918e-4,8.35444726649953e-5,3.867571498239182e-5,2.760952728657368e-4,2.606165677107727e-4,8.789044056104462e-4,9.26581782638199e-5,3.67103258754832e-4,2.8069150961497664e-4
093,-34.0614,-73.1066,1.7001097357472708e-4,1.0733109885152497e-4,6.722166877711439e-5,2.322447360087518e-5,1.0105822882416576e-4,6.906951938355048e-6,1.5056379514048426e-4,1.228849119051371e-4,8.930247346447148e-5,1.0925773181574909e-4
094,-32.7971,-87.0693,1.0536762885406265e-4,1.8804783343270292e-4,7.80905808352804e-5,2.5470181703488344e-5,1.2073523436340611e-4,1.3967089156601386e-5,1.6812260183886416e-4,1.2975227484874735e-4,6.51142616080302e-5,5.551335876326395e-6
095,-31.4328,-93.9583,1.6024893226034486e-5,3.869828821065983e-4,6.129981718973564e-5,2.589626945749671e-5,3.2012073580844485e-4,2.3699647625213736e-5,3.092873268449553e-4,2.9124803952052425e-4,5.991860717392503e-5,1.3797951940517861e-5
096,-29.7238,-101.1604,2.1546044980693896e-5,1.2456021864712977e-4,8.304355480023776e-5,2.703242483353499e-5,1.9386024920426667e-4,5.298115622727363e-6,1.17233376404954e-4,2.522166556979346e-5,1.0766546623928746e-4,7.685367907956772e-6
097,-28.1698,-107.3833,4.111675029101883e-7,4.0633783685741805e-5,1.1448970332470338e-4,1.1929429560568089e-5,1.034536736417385e-4,9.706044992940504e-7,2.7369331376972864e-5,3.728031867753181e-6,1.3196966263167496e-4,2.920054290526432e-6
098,-25.8051,-111.7202,3.2277245551414412e-6,9.789572353903555e-5,9.139252952428872e-5,1.6910643162937715e-5,1.0612118451443794e-4,6.30783426727028e-6,4.9677105746813845e-5,1.027098013914075e-5,1.3209699401171585e-4,6.245618812314551e-6
099,-21.146,-104.787,1.866321722220622e-5,6.681541610377806e-5,1.1475446589977826e-4,1.905550541710589e-5,1.3326657400646386e-4,7.482698082506961e-6,6.867752068890091e-5,8.09455957204359e-6,9.115412172188085e-5,5.8706577790659566e-6
100,-13.0023,-95.9759,4.4802663552764355e-7,4.053310559039889e-4,4.28761660903189e-5,3.063203560971399e-5,3.342659637431338e-4,2.6681906275712175e-6,4.039731169374439e-4,3.9705205681131504e-4,4.233711590734539e-5,2.720470810614166e-6
102,-5.2529,-85.1545,1.3065018138322207e-6,5.914380343310711e-4,5.76544870678006e-5,1.5408953436045208e-5,4.273774962851167e-4,5.169697628578554e-6,5.791531688984901e-4,5.509495948770802e-4,5.1569373645555435e-5,1.8600651686263142e-5
106,-0.0283,-84.5862,1.6193489005832748e-6,2.4608451551332505e-4,9.669347679707485e-5,3.5754301966672956e-5,1.646597859236538e-4,3.224963593194149e-6,2.1646897639532e-4,1.9012122049552957e-4,6.787131811857806e-5,2.1954733800904226e-5
109,1.9928,-84.5766,4.980154342740806e-6,1.0422781765219124e-4,1.6657121232034247e-4,8.989584630810099e-7,5.645373797810347e-5,1.2279479239288388e-6,1.817345731101219e-5,0,3.63820703637158e-5,7.864481793406241e-5
110,-2.0133,-84.589,9.456143139834578e-7,0.00039462204662368496,6.206039494071057e-5,2.5556358054789693e-5,2.8148123428278906e-4,3.2329302143516903e-6,3.917516736685478e-4,3.646718287860212e-4,5.894658355779579e-5,4.765212228978194e-5
111,-16.9601,-100.6335,1.1487817442041989e-6,4.52689547990507e-4,4.4024291901671255e-5,1.723953437821908e-5,3.197678055724006e-4,9.779329606284207e-6,3.982176766365951e-4,3.9112086371823805e-4,6.558925935651124e-5,6.313761364934347e-6
112,-23.2811,-129.3947,3.9651469589933975e-6,6.371052488478463e-5,9.06187935005747e-5,2.0016422813253223e-5,8.329423248104744e-5,0,7.307766300413687e-5,9.90993633589812e-6,7.799870005924918e-5,9.6089622481877e-6
113,-23.1108,-134.9327,4.934110847234169e-5,1.2321352423811668e-4,1.0148636792947722e-4,1.3356991289369745e-5,1.259424889015668e-4,2.2466736177026438e-5,1.3731384071623314e-4,8.997718740704034e-6,1.6148410181731918e-4,8.867552987873154e-5
122,-8.9971,-139.1963,2.2865695030034862e-6,2.9548741862413653e-4,5.9831124326408764e-5,2.6775489686047198e-5,2.228655472791823e-4,6.016197331748284e-6,2.3195275181412057e-4,2.2334318691911634e-4,8.196825858208993e-5,1.1800630688330915e-5
123,-8.9068,-140.283,3.58705400576408e-5,1.6432714971097363e-4,1.2405384245839943e-4,2.1836524455541606e-5,1.7318047826002974e-4,3.6182342883601497e-5,1.270298635350035e-4,7.250677914202233e-5,1.2571053661475067e-4,7.57461788429961e-5
124,-9.1504,-140.5216,8.673937766093318e-6,4.0356370001921497e-4,6.227619330657761e-5,1.9562432958393753e-5,2.730316033983225e-4,1.2787261911119442e-5,2.792967111413817e-4,2.558011030949587e-4,9.413110882398393e-5,2.533101010400138e-5
125,-8.9111,-142.5571,6.990774736566777e-7,1.7173060246267603e-4,1.4324763148080614e-4,2.7723173478860467e-5,1.2238238720351432e-4,4.949475812375339e-6,1.637981183180974e-4,1.4772152604068266e-4,6.22515749232664e-5,5.713908400544622e-6
126,-11.9873,-151.05,1.047820310220027e-6,4.7797290166686716e-4,5.798017399104005e-5,2.3566389145788612e-5,3.223055651084842e-4,1.913764156937767e-5,3.693109202888194e-4,3.255804359186007e-4,8.980778448691902e-5,1.4590225186354719e-5
127,-6.6499,-152.4243,2.0660389410852135e-6,2.4108787362570706e-4,8.902431176964625e-5,3.3771931646842374e-5,1.4909835141356073e-4,1.1067943431421955e-5,1.4738462002979655e-4,1.1294174537288492e-4,1.0140284460308584e-4,1.7857953711419512e-5
128,3e-4,-153.6759,1.6598905018267685e-6,2.735580765710205e-4,9.42745414397448e-5,2.5316508082957186e-5,2.1592255017693066e-4,8.678204307027546e-6,2.963286971629303e-4,2.71121890741489e-4,6.875429063090527e-5,1.7138932253551222e-5
129,6.671,-153.0658,5.6140138010135995e-6,1.7034122215256375e-4,1.0205524082514495e-4,2.7918340761358722e-5,1.1982415171116415e-4,1.1760497135987667e-5,1.236398663154525e-4,7.369285767270734e-5,1.0814179368129436e-4,2.6834109454783674e-5
130,11.2723,-152.3711,2.725380984386421e-6,9.408080976186125e-5,1.239521060827945e-4,1.240595589505426e-5,4.828710663886358e-5,1.1432491221161207e-5,3.636149587867017e-5,3.611432484011916e-6,4.741136652237808e-5,1.1767868964838083e-5
131,22.7598,-157.9568,7.923941436328476e-6,9.221522817871037e-5,1.0346101491215245e-4,2.601580178033891e-5,6.497510818300029e-5,2.437039767061344e-6,4.5155781626201775e-5,5.0510750077297344e-6,7.693311707949515e-5,5.9842557630327355e-6
132,31.5213,-158.9958,1.4669737525515658e-6,4.128400279590808e-5,8.137795561736809e-5,1.751699908949871e-5,5.0494451835001964e-5,0,2.8005584181746224e-5,0,5.875701122022001e-5,5.096721951019693e-6
133,35.2698,-127.7268,1.3521284469331267e-4,1.2780044796578772e-4,6.380383640357238e-5,1.91295480383137e-5,1.065117766387135e-4,2.251298094317731e-5,1.2791726898181565e-4,8.61378239490302e-5,8.63798312887173e-5,7.539610453907964e-5
134,32.7526,-122.0013,1.3928137415014226e-4,1.1055646272440697e-4,1.0935008748846511e-4,2.4421731279043317e-5,1.2739240408689788e-4,1.9861009180046417e-5,1.6027056267611033e-4,1.041657911829447e-4,1.1025745736020954e-4,1.4065779227741867e-4
135,32.931,-121.8645,1.266839507313306e-4,1.1956967398554158e-4,1.076906942109655e-4,2.0543852115666435e-5,8.208900818944345e-5,1.9115943674973117e-5,1.0734306591782098e-4,7.850065315598559e-5,1.0039187165346144e-4,1.0482661272027477e-4
136,17.0854,-118.8913,3.0683501507103815e-6,2.0039418766799844e-4,1.262071645962665e-4,2.580161745805717e-5,1.3888578749748202e-4,7.089426722858962e-6,1.7221491778568321e-4,1.217927337048136e-4,8.911379949558757e-5,2.2990919460397216e-5
137,14.2035,-116.6261,1.7031677045004845e-6,2.6980096284702254e-4,9.241477236172777e-5,1.3458398005909804e-5,1.5863571384248384e-4,3.5530915714761803e-5,2.31667543855134e-4,1.292493154006184e-4,1.4059536337796526e-4,4.733362801764747e-5
138,6.3332,-102.9432,3.817280900061645e-6,1.251582520880379e-4,1.4669934018891648e-4,1.608333968144874e-5,4.8815878830814944e-5,4.900859305836904e-6,3.682307300556246e-5,4.350544835811319e-6,6.171711841588118e-5,1.494543637811357e-5
139,6.4998,-94.9527,2.0656124810597955e-6,4.5300881615023406e-4,6.89541640381637e-5,1.6325502094480776e-5,3.1639602855603475e-4,1.4339266261679693e-5,3.992402711513367e-4,3.291860173232684e-4,1.0783383464444292e-4,4.4276504033440915e-5
140,7.4122,-79.3017,3.6943053185670374e-5,1.5084022525530972e-4,1.0662994303814383e-4,1.8370752363501417e-5,1.35506139570432e-4,4.0596936481317524e-5,1.3375012611444143e-4,1.676207895100139e-5,2.1330487062425755e-4,7.030757634236214e-5
141,9.8481,-80.0454,2.0700179542778887e-5,7.381045981546801e-5,6.123676304897983e-5,2.773984898876283e-5,2.4539330022540183e-4,7.232870548366953e-5,1.268960864915263e-4,4.746845102310613e-6,1.1109356927305551e-4,4.851471653911548e-5
142,25.6236,-88.45,1.3656741655802408e-5,3.495355278202548e-5,1.0958994465381043e-4,7.955951492762612e-6,5.735226511750177e-5,2.8129281401656813e-5,5.8434392208917596e-05,6.1120305801130345e-6,8.216648785910545e-5,1.641939898699416e-5
143,29.6394,-79.5395,1.4985842157103493e-5,5.855548558843858e-5,6.653577212654354e-5,2.6244231529376036e-5,4.984886523588165e-5,9.759063021608694e-7,4.7717549487731626e-5,4.794597259204621e-6,6.633056466323563e-5,1.4932566371053843e-5
145,39.2305,-70.0377,2.5125281399005785e-4,5.489458048884329e-5,1.075437773375236e-4,2.3797405326037056e-5,1.552085947787693e-4,2.9927699688984306e-5,2.4124199222822884e-4,1.3636044304418814e-4,1.9875252911930974e-4,1.2165095439211443e-4
146,34.6712,-71.3093,1.5160151890549652e-4,6.51050986533783e-5,1.1673878810120534e-4,1.863846946513218e-5,1.9610332508321595e-4,5.4341019151172436e-5,2.143214817218991e-4,9.391341070970307e-5,7.876554443830573e-5,5.2887824598540976e-5
147,33.061,-66.5435,1.0478268669438347e-4,6.902798898436985e-5,9.817026669669911e-5,1.9834002555223147e-5,1.7140479783905847e-4,4.7402659316935e-5,1.525527078503111e-4,4.3726708835298415e-5,8.407287626460474e-5,5.2566642994524904e-05
148,31.6948,-64.2489,5.103702057331493e-5,5.7338599997434724e-5,1.165144009943515e-4,1.8389550755199726e-5,9.755768291679782e-5,2.8792124494273795e-5,9.556294807169429e-5,2.5210078901680668e-5,8.760515210303171e-5,3.3788751132387404e-5
149,34.0964,-49.8906,1.1793533142247353e-4,6.6786147963982e-5,1.0515466253988004e-4,2.743889636458851e-5,1.4374030988732224e-4,4.8556888495306734e-5,1.8454937091960154e-4,6.179254441084818e-5,1.4849582062003325e-4,7.01815270499332e-5
150,35.9346,-37.3032,7.796104369830879e-5,4.733355243503938e-5,1.549184820939293e-4,2.0758860608669324e-5,8.389900000388835e-5,1.959714311490804e-5,8.809812401849533e-5,4.4566804924117376e-5,8.200592602512095e-5,3.831220149485915e-5
151,36.1375,-28.935,9.135264649000552e-5,5.04010100432254e-5,1.4145578510084135e-4,1.8598986050976954e-5,7.0667862661851e-5,2.0785137312179844e-5,1.1994779773334068e-4,5.197308620370024e-5,1.118968367988264e-4,5.396364025977308e-5
152,43.6792,-16.8344,7.816884101262108e-5,2.0622632350914688e-4,9.663267225878918e-5,3.180604869983565e-5,1.7928095622524645e-4,4.891823900411671e-5,1.547992507418831e-4,1.2815956811752848e-4,1.527751704280009e-4,6.093512223125404e-5
